x,50.xy,Ycalc,Diff,Gd2O3,UO2
21.46,88,85.3521145,2.64788548,0.529034755,0
21.48,82,85.2672128,-3.26721276,0.527264867,0
21.5,93,85.1823982,7.81760179,0.525664167,0
21.52,70,85.0976637,-15.0976637,0.52422506,0
21.54,91,85.0130026,5.9869974,0.522940447,0
21.56,69,84.9284087,-15.9284087,0.521803692,0
21.58,78,84.8438762,-6.84387623,0.520808586,0
21.6,83,84.7593999,-1.75939986,0.519949316,0
21.62,68,84.6749746,-16.6749746,0.519220439,0
21.64,90,84.5905958,5.40940417,0.518616853,0
21.66,79,84.5062592,-5.50625924,0.518133776,0
21.68,90,84.4219608,5.57803917,0.517766723,0
21.7,89,84.3376969,4.66230313,0.517511486,0
21.72,79,84.2534639,-5.25346392,0.517364117,0
21.74,88,84.1692588,3.83074121,0.517320935,0
21.76,83,84.085098,-1.08509796,0.517397919,0
21.78,83,84.0010351,-1.00103511,0.517648221,0
21.8,94,83.917274,10.082726,0.51827506,0
21.82,84,83.8331535,0.16684651,0.518616884,0
21.84,91,83.749048,7.25095201,0.519047461,0
21.86,78,83.6649554,-5.66495544,0.519564247,0
21.88,86,83.580874,2.41912599,0.520164853,0
21.9,87,83.496802,3.50319801,0.520847038,0
21.92,87,83.4127378,3.58726218,0.5216087,0
21.94,76,83.3286801,-7.32868009,0.522447866,0
21.96,86,83.2446275,2.75537249,0.523362689,0
21.98,88,83.1605789,4.83942109,0.52435144,0
22,77,83.0765332,-6.07653325,0.525412499,0
22.02,76,82.9924896,-6.99248957,0.526544356,0
22.04,76,82.9084471,-6.90844706,0.527745602,0
22.06,71,82.824405,-11.824405,0.529014924,0
22.08,91,82.7403627,8.25963728,0.530351106,0
22.1,75,82.6563197,-7.65631972,0.531753019,0
22.12,75,82.5722755,-7.57227555,0.533219621,0
22.14,92,82.4882298,9.51177016,0.534749958,0
22.16,92,82.4041823,9.59581766,0.536343154,0
22.18,77,82.3201329,-5.32013286,0.537998416,0
22.2,87,82.2360813,4.7639187,0.539715028,0
22.22,92,82.1520276,9.84797236,0.541492354,0
22.24,77,82.067972,-5.06797195,0.543329834,0
22.26,87,81.9839144,5.01608562,0.545226985,0
22.28,71,81.8998551,-10.8998551,0.547183404,0
22.3,85,81.8157946,3.18420544,0.549198767,0
22.32,75,81.731733,-6.73173303,0.551272828,0
22.34,87,81.647671,5.35232896,0.55340543,0
22.36,90,81.5636092,8.43639084,0.5555965,0
22.38,84,81.4795481,2.52045193,0.557846057,0
22.4,85,81.3954885,3.60451145,0.560154218,0
22.42,81,81.3114315,-0.311431466,0.562521204,0
